Tweet,emociones_merged
@globemartyk 'drunken patroons' make this whole situation much more jovial though.,"['joy', 'optimism']"
"@WBIRSports They're still using his offense, up the middle 3X &amp; punt.","['anger', 'disgust', 'sadness']"
@SandraTXAS @6bird4 @CajunKangaroo @justanavywife please. Or you could be clouded by your passion. Emotion leads you from the truth.,"['anticipation', 'optimism']"
Quinn's short hair makes me sad. ,"['pessimism', 'sadness']"
"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol","['anger', 'joy']"
Love how cheerful that woman is about storing someone else's furniture for an eternity. I'd have sold it by now. #GrandDesigns,"['joy', 'love', 'optimism']"
It's a gloomy ass day,"['anger', 'disgust', 'pessimism', 'sadness']"
Drop every fear...,"['fear', 'optimism']"
Let's get drunk and tell each other things we're afraid to say when we're sober.,anticipation
Sometimes the best motivations come from 'proving them wrong' #energy #relentless #MotivationalQuotes,"['fear', 'optimism']"
promise of restoration to the nation of israel...'everywhere you look blessing '..barns/wine overflow.Everything beautiful #joyful #do_u_see,"['joy', 'love', 'optimism']"
@leeuwlion 'The furries are restless tonight'.,[]
... flat party and I instantly get bollocked about it. ,[]
I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak,"['anger', 'disgust', 'fear']"
"@Uncle_Brown22 yeah dude! Appreciate the #support! #Notorious on ABC, peep it! #grateful #relentless","['joy', 'optimism']"
@HutchinsonDave I don't know whether to despair or agitate for a cull.,"['anger', 'disgust', 'fear', 'sadness']"
What day is it #lost,sadness
a pedicure is supposed to be nice but honestly I'm so nervous rn my feet are too ticklish,"['fear', 'pessimism']"
@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho #shocking,"['anger', 'disgust', 'sadness', 'surprise']"
How can America be so openly embracing racism. #dismayed,"['anger', 'sadness']"
@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,"['anger', 'disgust', 'sadness']"
You are NOT your struggle or You are NOT your affliction! #YouAreStrong &amp; #YouAreArising above it all!,"['anticipation', 'optimism', 'trust']"
#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤ @thecandeyman,"['joy', 'love']"
"Anyone know how the #Mariners did today? The mood here seems strangely jubilant! As Meatloaf says, 2 out of 3 ain't bad, unless you win one!","['anticipation', 'joy', 'optimism']"
Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,"['anger', 'disgust']"
@URClassless I think that yawning actor died of a drug overdose. #glee,"['joy', 'pessimism', 'sadness']"
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark","['joy', 'love', 'optimism']"
Retweeted Dr. Rand Paul (@RandPaul):\n\nStop fueling a Middle East arms race and worsening an already horrific refugee crisis in Yemen.,"['anger', 'disgust', 'fear', 'sadness']"
"@Eeevah14 don't I know it, try not to fret my sweet little pupper","['anger', 'anticipation', 'disgust']"
@SeanUnfiltered Texans are scared of this bunch! #intimidated,fear
Still can't log into my fucking Snapchat#Snapchat #snap,"['anger', 'disgust', 'sadness']"
People too weak to follow their own dreams will always find a way to discourage yours.,"['disgust', 'sadness']"
No red card for Gordon there? The ref must be a Celtic fan as that was a shocking challenge.,"['anger', 'anticipation', 'fear', 'surprise']"
"Seeing #RIPShawtyLo got me thinking bout other rappers then I thought about @LilTunechi dying, and burst into tears... Smh","['pessimism', 'sadness']"
"@AlZeidenfeld @DavisMattek @FI_GPP_Quotes @LoughyFI @FantasyInsiders terrible handle, but I owe whoever runs it a lot. #GPPHallMonitor","['anger', 'optimism']"
Jk I'm not a loner just really shy 😅,"['joy', 'optimism', 'trust']"
"@atlabps He doesn't intimidate me, it just annoys me to have him by my side. The further he is, the better I feel","['anger', 'disgust', 'sadness']"
You sure have a lot to say about something that doesn't even concern you 😉,"['anger', 'disgust', 'joy']"
@Ms_HeartAttack peanut butter takes away the sting,optimism
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,"['anticipation', 'joy', 'optimism']"
No quite sure how Craig Gordon's stayed on the park there !!,anticipation
@1NatalieMaines Can you imagine being the person who has to spray tan him? #shudder,fear
@AriZernial @NesquikMills don't let him discourage you Z! That's one of the best ideas yet!,"['anger', 'anticipation', 'optimism', 'trust']"
@madihayousufzai Please DM your concern,[]
@NateBLoL no it was that clear American naturally flavored sparkling water,[]
"I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.","['anger', 'optimism']"
Angel got me nervous out here 😷,"['fear', 'sadness']"
"@TetraVariations I don't need a mask, but I'll gladly make a donation to help in ur name! Is it Mr. TY Rex or first initial only? #serious","['anticipation', 'joy', 'optimism']"
"#savemoney and #savelifes @ your #openbar @your #weddingreception. Close it 1-2 hours early, forcing your guests to sober up before driving.","['anger', 'disgust', 'optimism']"
@Twitch how do I stop that horror movie themed commercial? Suddenly hearing screams is really not making me want to watch twitch. ,"['disgust', 'fear']"
Decide to stop being afraid. To just stop. What are you now free to do?\n\n#brave #free #honest #healthy #happy #life #living #optimism #love,"['anticipation', 'joy', 'love', 'optimism']"
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,"['joy', 'pessimism', 'sadness']"
@KarenL109 replace the carpet!! #shocking !!!!,"['disgust', 'surprise']"
Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad,"['love', 'sadness']"
@wowairsupport it world be great if the live support was actually helpful #nightmare,"['fear', 'pessimism']"
@YahooFantasy update may have been the worst mistake of my day ,"['anger', 'pessimism', 'sadness']"
no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute,"['joy', 'love']"
"@tweet_faver its reaper!! before he became reaper, you can find their stories on the wiki and thru the comics and animated shorts!",joy
"@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.","['anger', 'disgust', 'sadness']"
@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,"['anticipation', 'optimism', 'surprise']"
"@Sami749263491 yeah whatever, whahibbi are #muslims just a sect, as you know,  #islam is synonymous with #rape and #terrorism","['anger', 'disgust', 'fear']"
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 #awful","['anger', 'disgust', 'sadness']"
"It is a solemn thing, and no small scandal in the Kingdom, to see God’s children starving while seated at the Father’s table. -AW Tozer","['anger', 'disgust', 'pessimism', 'sadness']"
13 hour @bus rides make me  #sorry,sadness
Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 #nightmare,"['fear', 'pessimism', 'sadness']"
"And I would advise that everyone wait to watch @KevinCanWaitCBS ,or actually don't wait, just don't even watch it because it is #awful","['disgust', 'joy', 'sadness']"
"{Strong hands moving to firmly grope each of @WhimsicallyWild's thighs, squeezing as her digging nails extract a growl from me.}","['anger', 'disgust']"
I hope my hustle don't offend nobody,anticipation
Rojo is hilarious,joy
"@ToyStoriesInt They look FAB, they were made for the big screen!Can't wait to see this evolve &amp; the bright future of these little toy people","['anticipation', 'joy']"
@torreBe Te gusta American horror story y The walking dead?,fear
Round 2  #pcola,[]
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ #fuming,"['anger', 'disgust', 'sadness']"
is it bad that kurt is literally me..? ,"['disgust', 'sadness']"
@Mickeyplyler @QualkTalk the refs are in GT's favor tonight. #terrible,"['anger', 'anticipation', 'disgust']"
"@ChickOfBeauty No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create  #BlackLivesmatter #terrorism","['anger', 'disgust', 'sadness']"
@RiveraJose39 happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme #madden #tater,"['joy', 'love', 'optimism']"
"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.","['anger', 'disgust']"
Halfway to work and I realize I forgot to put on underwear....It's going to be one of those days! #mombrain #toomuchgoingon #longday ,"['anger', 'disgust', 'pessimism']"
How sad is it that I'm rejoicing over a 72💀 #collegekills,"['pessimism', 'sadness']"
@katrinadougan_ ive went roght in the huff. Deleted the episode out of anger n everything (regret it now),"['anger', 'sadness']"
@nadinekellman yes I can. Don't discourage me.,"['optimism', 'sadness']"
Luckily I was helped by some good people. And they also managed to free me of my depression. Unfortunately it only lasted a little while.,"['joy', 'optimism', 'sadness']"
#aliens #zombie #gore #slash #ghost #sith #horror I love it all. 🔪,"['joy', 'love']"
Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,"['pessimism', 'sadness']"
The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal,"['fear', 'sadness']"
For what a beautiful day. #elated,"['joy', 'love', 'optimism']"
Start the convo...don't shy away..mental illness abounds in society including our workplace...be informed... #tsdoffsite,"['joy', 'optimism', 'pessimism', 'trust']"
Even a pencil✏ never #stayed  with me until it's #end ⚫ 😞,"['pessimism', 'sadness']"
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror","['anger', 'disgust', 'fear']"
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,"['anger', 'sadness']"
I forgot #BB18 was on tonight  that is how much the real world has been distracting me #horrid ,"['fear', 'sadness']"
@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn...the 'celebrity' draft at the end was classic. #hilarious,"['joy', 'surprise']"
Ugh.. Why am I not asleep yet. Fml. I think low key I'm afraid I might miss something. #SleeplessNight #sleepy #restless,"['fear', 'pessimism', 'sadness']"
"Next month we'll be running overcoming #lowmood, overcoming #worry and improving #wellbeing courses in #Louth. Self refer on 0303 123 4000","['anticipation', 'fear', 'optimism', 'sadness']"
I am often disturbed by what some people find appropriate or acceptable. It's not funny nor cute that adults find this stuff humorous. ,"['anger', 'disgust']"
Id love 2 c Gyimah in action but his coach is holding a grudge against him!,"['anger', 'disgust', 'joy', 'sadness']"
It's become a verb. 'I'm gonna Villaseñor all those old contacts I don't need anymore.' #sadness @melissavcomedy #waitingforexplanation,"['pessimism', 'sadness']"
"What a shamefull, unequal, dangerous and worrying world we live in nowadays! #terrifying #Charlotte  #shitworldforourkids","['anger', 'disgust', 'fear', 'sadness']"
IDC predicts that by 2020 the term cloud will no longer be used...'\n\nIT Managers and Administrators everywhere will rejoice.,"['joy', 'optimism']"
Marcus Rojo is the worst player i have ever seen. Useless toasting burning bastard,"['anger', 'disgust']"
"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump ","['anger', 'anticipation', 'disgust', 'sadness']"
#bcwinechat what's the most common method used to make BC #sparkling #wine?,"['anticipation', 'joy']"
@ardit_haliti I'm so gutted. I loved her cheery disposition.,"['joy', 'love', 'optimism']"
"@doubtcaspar babe :(( remember I'm ALWAYS here if u need a little cheering up or talk, ily lots💘","['joy', 'love', 'optimism']"
Might go on @RadioX tomorrow to hopefully win a new car. My current one stinks of gone off milk. #grim,"['disgust', 'optimism', 'sadness']"
Step out of your comfort zone. \nGo for risks.\nFace things you fear. \n\nThis is when life starts to happen.\n\n#cpd,"['optimism', 'trust']"
"If you love singing, but don't have time for a weekly choir, come down to #KWOIR at @theartworksuk tomorrow! #Choir #glee #musiclondon","['joy', 'love', 'optimism']"
@LoriAlan1 Seriously. Digging those eyebrows. ,"['joy', 'optimism']"
My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr,"['joy', 'optimism']"
@DrSRSheikh: And who asked you to gate crash with your dumb idiosyncrasies when sober people are analyzing a situation!\n@BanoBee @AK_Forty7,"['anger', 'disgust']"
@luxbet Did you even give out any pizzas ? Serious fail #hungry #furious #hangry,"['anger', 'disgust', 'sadness']"
"Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS 😁and pick up my new flat keys ","['fear', 'joy', 'optimism']"
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson ,[]
"@westelm tells me my order will ship on Sept 12, arriving by Sept 19. Today is the 22. 😐 #lies  #whereismyfurniture","['anger', 'disgust', 'sadness']"
testing ,[]
Newly engaged Stevie Wonder has been trying to disguise #the #awful smell from his throat: with a leather jacket made from a broken Wii.,disgust
Should've stayed at school cause ain't nobody here,"['disgust', 'fear', 'pessimism', 'sadness']"
@amychozick @jswatz Not a word about terrorism.,"['anger', 'anticipation', 'disgust', 'fear']"
My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!! #sad #TerenceCrutcher,"['fear', 'sadness']"
@hannah_2401 hannah stop being mournful and chill 💁,"['disgust', 'sadness', 'trust']"
@VosachResrus ^'ll just #wobble carry you #sink,"['anticipation', 'disgust']"
"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room","['anger', 'fear', 'sadness']"
"Seriously @marksandspencer I'm sick and grumpy and the only thing that's gonna cheer me up is ordering my xmas food, when's it going up? 😢","['anger', 'sadness']"
I've said it before and I'll say it again: It's God! All God! Only God! #awe #archippusawakening #entirelybyhisgrace,"['joy', 'love', 'optimism']"
Today is the first time any math professor let us live early before the class time !!! #15 min #feelsgood #happy #wednesday #,"['joy', 'optimism']"
Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 #nightmare,"['anger', 'disgust', 'fear']"
"@MoviesTVNetwork Wow, did you get a really good buy on a bunch of '70's movies? There were bad then and are worse now! #awful","['disgust', 'sadness']"
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,"['pessimism', 'sadness']"
@EagleGiles23 @tgilmore_92 what I miss? #outrage,"['anger', 'disgust', 'fear']"
On the way to Laser Vista ... lens implantation ... #LaserVista  #happy,"['joy', 'optimism']"
Is it terrorism to intimidate a populace? What case held 'coercion by people in uniform is per se intimidation'?,"['anger', 'disgust']"
@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,"['anger', 'anticipation', 'optimism']"
@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,"['anger', 'disgust']"
Well @AprilDRyan Trump's rabid base needs 2 hear this &amp; U can always find an overseer like King to say it.\n@JoyAnnReid @SMShow @frangeladuo,"['anger', 'disgust']"
Radio shake mutli directional mike it might sound cheap but the sound wasn't that bad and you could do some mixing.,"['optimism', 'trust']"
@SusannahSpot I could pop round #nightmare,"['disgust', 'fear']"
@peterdaou What? Hillary has 27 different controversies and she gets asked NOTHING about any of them. Truth is she's a horrible candidate,"['anger', 'disgust']"
Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,"['anticipation', 'disgust']"
"@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!",sadness
@FoRDaYS14 😳 chewing what? #smile #arcdental #turlock,"['joy', 'optimism']"
"@Digger_forum he's also mostly (except for the synthetic testosterone bits) male, you raging sexist!","['anger', 'disgust']"
Your #smile is a messenger of your good will.,"['joy', 'optimism']"
"Athenian: When mirth is the order of the day, he ought to be honoured most who gives most mirth to the greatest number (Laws)","['joy', 'optimism']"
If you get called #shy this means you are #considered.Turn those #negatives to #positives Quote #MarnieMcCormack from @jpmorgan #womenintech,"['joy', 'optimism']"
@cxmbeferre so you WOULDNT date me????? #offended,"['anger', 'disgust', 'sadness']"
felt a bit shit getting a very high blood sugar then i remembered it's my first one above 15 this week which is incredible for me! ,"['anger', 'disgust', 'joy']"
Condolences to the  JC and the Georges family.. #sad,"['pessimism', 'sadness']"
Need a new outlet for ,[]
"•Days!'\nHe was itching for a fight..itching for the exhilaration of battle, of almost getting defeated, the adrenaline pumping•\n@RojinHitto","['anger', 'anticipation', 'joy']"
Yo there's a kid on my snap chat from LA &amp; they get high off helium gas lmao.... I am like why the fuck lol,"['joy', 'surprise']"
While we focus on issue of #IPCA @IHFOKids Indulges in #intimidation @BringRoshniHome @ChildrensIssues @MEAIndia @MinistryWCD #StopCruelty,"['fear', 'optimism']"
"Yo,if you're talking about horoscopes do you really have any clue as to what you're saying or are you gonna act offended when I question it?","['anticipation', 'sadness']"
Meghan is teaching the blues in keyboard fundamentals II and all these classical majors are like WTF?!,"['anger', 'disgust']"
"says, who are you to compared me with the others; I'm just human. #lit #fire ",[]
I wish I could live in y'all reality where i can grieve over people i never met. To bad i got BROTHERS dying left and right .,"['anger', 'disgust', 'pessimism', 'sadness']"
@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future #bright #gottawearshades #LetsGoYankees,joy
"“Don’t burn out; keep yourselves fueled and aflame. Be alert servants of the Master, cheerfully expectant.' Romans 12:11-12","['joy', 'optimism', 'trust']"
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,"['anger', 'disgust', 'sadness', 'surprise']"
Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,"['anger', 'disgust']"
"Or when they hmu on snap, and I'm like.. which one are you. 💀",anger
Blood is boiling,"['anger', 'disgust']"
"My leg feels like it's gonna burst, yet I'm still expected to go into work:):)","['fear', 'joy', 'sadness']"
It is so exhilarating taking on the challenge of demonstrating + explaining WHY #JamesJoyce's #Ulysses is so endearing &amp; wonderful!,"['joy', 'optimism']"
#GBBO can cheer me up ☺️,"['joy', 'love', 'optimism']"
@RussiaInsider Really sad &amp; surprising. 1 side #Russia fighting against #IS &amp; on the other supporting #Pak which is epic centre 4 ,"['pessimism', 'sadness', 'surprise']"
@Blancalanka96 thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking,"['joy', 'optimism']"
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,"['disgust', 'pessimism', 'sadness']"
A Leopard never changes its spots! #lost,"['pessimism', 'sadness']"
"@wrexham I've joined holidog, paw shake and tailster and have one regular customer I just love it 🙈🙈haha @EmilyHD26 @ellshd","['joy', 'love', 'optimism']"
My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,"['anticipation', 'surprise', 'trust']"
love to play underlord while listening to cheery anime music,"['joy', 'love', 'optimism']"
@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far #shocking. #venkysout,"['fear', 'surprise']"
So @JeffProbst those of us born in 85 have no generation! Where is the gen-less tribe! Ha! #survivor #lost soles,"['pessimism', 'sadness']"
why the fuck does my mum want me to put corn in the curry?! #grim,"['anger', 'disgust']"
It is too fucking bright &amp; too fucking hot outside,"['anger', 'disgust']"
Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. ,joy
"Hello fellow #horror #creepy #dark #stange #story fans, how's your day? #followme and I'll #followback","['optimism', 'surprise']"
Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun,"['joy', 'optimism']"
Back on my ,[]
@phil500 \nSo sadden \nSpunky a beautiful dog\nA sad story a lovely happy\nAn loved dog \nPlay little one have fun you\nare so loved,"['joy', 'love', 'optimism', 'sadness']"
World wants #peace from  #WorldPeaceDay #internationaldayofpeace,"['joy', 'optimism']"
@ExpressScripts u shd b embrrssd. u jack up my bp meds twice and it will still take 3-5 days? Not express at all. #expressscripts #horrible,"['anger', 'disgust', 'fear', 'sadness']"
"@Policy_Exchange A plus point, she won't have to queue for the loos. Any more plus points? Nope, can't think of any #shocking #sexism","['anger', 'disgust', 'surprise']"
@gatewaypundit Mostly animated audience I'd bet...green sceen folk...the ones that don't need air..!,[]
Their engine runs on fuel called whining :-)\n\nU jst  hv 2b observant..\nHar din Rona dhona &amp; complain. \nHappy news makes them unhappy :-),"['anger', 'disgust']"
Watching Paranormal Activity: The Ghost Dimension. I'm not sure how I feel about it yet. ,"['anticipation', 'fear', 'surprise']"
"It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n#funny #pun #punny #lol #hilarious","['joy', 'love', 'surprise']"
"She used to be beautiful, but she lived her life too fast - Forest City Joe #blues #blinddogradio","['love', 'pessimism', 'sadness']"
"@SkyNews when the East wind blue in summer in Durban, S Africa, we still surfed and got #stung badly! Must be carefull-A #sting can harm you","['fear', 'sadness']"
He maketh the #barren woman to keep house &amp; to be a #joyful mother of children\nPraise ye the Lord\nPsa113:9,"['joy', 'love', 'optimism']"
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,"['anger', 'optimism']"
sav tells our mom 'I love you' and she responds 'Oh.' #sad,"['disgust', 'sadness']"
One way ticket to the blues.,"['joy', 'optimism']"
"Defining yourself in terms of opposition, i.e. the clouded mirror phenomena, is almost always a mistake.","['anger', 'anticipation', 'disgust', 'pessimism']"
"@seangrandillo I beg you, never stop smiling. You deserve to be happy and to know all the beautiful things that life can offers.","['joy', 'optimism']"
Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE,"['anticipation', 'surprise']"
okay i AHVE to start mob psycho 100 today. if i dont im going to fight myself,"['anger', 'anticipation', 'optimism']"
@JamieNicks_ it makes complete sense and i'm elated to hear this :],"['joy', 'optimism']"
When you realize there is #NoHopeForHumanity so you just #start focusing on what's #best for you.,"['optimism', 'pessimism', 'sadness', 'trust']"
"Shriekfest is lining up VOLUNTEERS! Oct 6-9, only serious inquiries please!  shriekfest@aol.com  see free films! ","['anticipation', 'joy', 'optimism']"
@johnwintertweet dudes who wanna play some bass but not buy a bass (me) rejoice,joy
Treat joy and laughter as a form of worship and spiritual warfare! #laughter #live #victory #worship,"['joy', 'love', 'optimism']"
"@vInZzzY we regret the inconvenience caused. We have noted your concern. We will get in touch with you soon to discuss. Rgds, Abhijit","['anticipation', 'optimism', 'sadness']"
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO ,"['disgust', 'sadness']"
I'm way too busy and tired all the time to worry about my past and the things I should be regretting (but I never am).,"['anticipation', 'joy', 'optimism', 'sadness']"
"It's finally raining in Ashland, Oregon. We've been parched all summer &amp; fall. The plants &amp; people are rejoicing!",joy
@RiveraJose39 happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme  #tater,"['joy', 'love']"
@UCSMindfulness thank u so much! we just finished another #mindfulness film called #release about #anxiety - plz share!,"['anticipation', 'fear', 'optimism', 'pessimism']"
@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.,"['anger', 'disgust']"
I shower to lay in bed for about an hour then dread wearing pants for the remainder of the day,"['disgust', 'fear', 'joy', 'sadness']"
It's dark,fear
"Don't #worry if you're not the best , if you are doing something you #love , you're heading in right direction ...","['joy', 'optimism']"
I'm ever so cheerful,"['joy', 'love', 'optimism']"
I need all your attention! If I don't I'll pout..,anticipation
@DDNewsHindi  #UNGA no talks should be carried out with Pakistan now ... His mouth stinks of #terrorism #UriAttack,"['anger', 'disgust']"
@joemrusso happy birthdayyyyyy pretty. Miss you!,"['joy', 'love']"
"@devrajasmine If you change the dark images both look different, but both look like they are in a forest.",[]
I'm not used to pretty girls that use curse words to express their anger. I just feel like I'm a little bit surprised and turned off as well,"['anger', 'disgust', 'surprise']"
((things that grind my gears: people drawing gideon gleeful skinny,"['anger', 'disgust']"
I'm allowed to sulk,"['anger', 'disgust', 'joy']"
"@danmericaCNN @aefadul22 HRC has the experience, temperment, knowledge &amp; ability to lead us in this perilous time","['joy', 'optimism', 'trust']"
@Shonna_Ludi @_braaaat_ 😂😂😭😭😭 resentment,"['disgust', 'sadness']"
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,"['disgust', 'fear', 'pessimism', 'sadness']"
i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,"['disgust', 'sadness']"
"@TheAlexValle Tio Valle, please! WNF grudge match @Anti with Low Tier God!!!","['anger', 'disgust', 'joy', 'optimism']"
it was both lively &amp; lovely @crumblepie15 @buryprofs @DittoBistro #BuffnPolish,"['joy', 'love', 'optimism']"
@EE your website is making me feel violent rage and your upgrade options aren't helping either. #Aaaaarrrrgghhh #iwanttocancel ,"['anger', 'disgust']"
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,"['fear', 'sadness']"
@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,"['anger', 'disgust', 'joy', 'sadness']"
"@KillerInASuit - now getting banned but will still lurk in corners and underneath the bed and sofa, much to Eyepatch's delight. Why is she -","['anger', 'disgust', 'sadness']"
"I'm sorry but since when is an #indiegames #DLC worth nearly £130 that's just plain lunacy when the game itself is £20odd, #astounded 😱","['anger', 'sadness', 'surprise']"
"Tomorrow, is the FIRST DAY OF 🍂🍂FALL🍁🍁and I'm elated!!!!!","['joy', 'optimism']"
"@samvirwin fancy! I have some of those and I have never put them up, I should do that. Also, I vote jaunty angles then no one will judge","['anticipation', 'surprise']"
@officialShaky 'Operation Echoes' is gathering momentum ... #tense  #feelsick #excited,"['anticipation', 'fear', 'joy', 'optimism']"
@Netflix_ME penny dreadful season 3?,"['disgust', 'fear']"
I added Paul Walker on Xbox but he just spends all of his time on the dashboard. #dark #humor #funny,joy
Changing my hair again ,anticipation
Will I offend you\nif I am truthful but kind\nor will you see why?\n@baffled #haikuchallenge ,"['anticipation', 'disgust', 'fear']"
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! ,"['anger', 'joy', 'optimism']"
@OC_Transpo some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses? #awful #solate,"['anger', 'disgust']"
@WelshGasDoc @PlaidCymru supporter @reesmarshall239 #prejudice against #disabled people #disabledlivesmatter  #bbcnews #skynews,"['anticipation', 'disgust', 'sadness']"
@CP24 And I hope when the police met him at the subway that they took him straight to jail 😕 #awful,"['disgust', 'fear', 'sadness']"
Do you know how much it hurts to see you best friend sad?,"['pessimism', 'sadness']"
my mom recorded nightmare before Christmas for me 😍😍😍 I LOVE IT 💕,"['joy', 'love']"
@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,"['anger', 'disgust']"
"@Babylonian I convinced my mom to watch it. Killgrave gave her literal nightmares, but watched last episode four times. #smile","['anticipation', 'joy', 'love', 'optimism']"
@Sami_3499 Oh noooo!  #nomorehammocks #nightmare ;),"['fear', 'sadness']"
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,"['anger', 'disgust']"
Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.,"['anger', 'disgust', 'joy']"
"@Lizombi There's a difference though. A grudge cab be tamed. Feeling uncomfortable is pure emotion, you can't really control it.","['anger', 'pessimism', 'sadness']"
Her charm is liveliness but this is also her weakness.,anticipation
when you think you've got it together for a day then you randomly burst out crying,"['disgust', 'sadness']"
@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity,"['anticipation', 'joy', 'surprise', 'trust']"
Breaking out in hives for the first time since college finals. #anxiety sucks,"['fear', 'sadness']"
Get to the gym and discover I forgot to put my gym shoes back in my bad 😤  #wwhhyyy,"['anger', 'disgust', 'sadness']"
some say my lover is a pale green light\nhe hovers high where the moon shines bright,"['joy', 'love', 'optimism']"
@cxmbeferre so you WOULDNT date me????? ,"['anger', 'disgust', 'sadness']"
Q&amp;A with N. Christie @westernuHistory: fr. @marybethstart: What would Peter and Dardanella think of us knowing? #poorthings ,sadness
i've seen the elder watching me during my community hours and i honestly don't have an idea about what my assignment will be. #apprehensive,"['anticipation', 'fear', 'sadness']"
