Tweet,emotions_merged
@AlbertBreer @jetswhispers Be sure and switch it over to cable news - cheery,joy
You head north and arrive at a breezy cave. It smells sweet. You glance at your watch; you're running 15 minutes late.,joy
Haven't gotten one hour of sleep... Today is going to be a fun day 😐 ,sad
"Vacation wise, Egypt offers great places, amazing scenery, bright skies and good weather at a very good and affordable price for students.",joy
"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs",anger
@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,joy
"@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement",sad
"gonna eat, pick up my brother, get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies 🤘🏼",joy
Accept the challenges so that you can feel the exhilaration of victory.' - George S. Patton,joy
@inthefade going back to blissful ignorance?! ,anger
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger
"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.",anger
"People’s deepest passions often scare them too much to admit, even to themselves.",fear
@SueWallace78 peanut butter???? You some kinda pervert?? #awful,anger
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger
Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up.  #comedy #maybeoneday #hopefullyfunny #LOL,joy
"@yap_yip --an uncertainty. [Halsey teases, her lips curving into a jovial smirk.]",joy
@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷,joy
not near my kitchen so unfortunately I cannot do a cooking snap series 🍳,sad
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking",anger
I'm so confused by the new American horror story 😩,surprise
@BraveHermione_ + and gives it to hear] 'Please.. I can tell you anything if you want to listen. maybe you're dont afraid anymore of me +,joy
Clash of the titans and wrath of the titans 🙌🏾🙌🏾🙌🏾 🔥,joy
Okay~ #deepbreathes ☺️ we can do this @sydneyswans 💪🏻🔴⚪️ #cheer #cheer &amp; see you on the other side peeps ❤️ #AFLCatsSwans #ProudlySydney,joy
I'm just still . So happy .\nA blast,joy
@GrimsToyShow grim what the fuck going on with these dame fucking clowns takeing the gameing channel if I had a way to nj I would delete,anger
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz #shake,surprise
"life is hard., its harder if ur stupid #life #love #sadness #sadderness #moreofsad #howdoestears #whatislife",sad
*Still waits for Yang. Guess she really needs her sleep or something. Kittens feeling kinda dejected right now.* #Offline,sad
the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol,joy
"@pottermore : I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness...",sad
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger
"@chenaidavid easy, breezy, beautiful rasta mon",joy
"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile",joy
"Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully. #woficc",joy
@xiankiefer @TheLincoln Book 5! It's so sprightly &amp; fun cuz he'd been reinvigorated by the Harry Potter series. I'm not kidding.,joy
I want to pour all my tears on someone right now. So tired of this #upset #sad,sad
@SusannahSpot I could pop round ,joy
Watch this amazing live.ly broadcast by @brooks_swaggysquad #lively #musically,joy
@majesticmata didn't even realise you used that insult it was that shit mate,anger
It's a beautiful day today. Cloudy but sunny and breezy.,joy
Always do sober what you said you'd do drunk. That will teach you to keep your mouth shut. \n― Ernest Hemingway #quote,joy
"All i want to do is to be successful, be cheerful and to be happy with @DominicHussein",joy
@Nick_Offerman I'll be there!! Can't wait for all the #mirth!,joy
"Says to my maw the other day, wanna day sober October way me, she says 'ave mer chance of doing movember son' #classicmoira #glasgow #sober",joy
A wise man told me that holdin' a grudge is like\nLetting somebody just live inside of your head rent free,anger
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger
Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...,anger
induction day tomorrow for pizza express ,joy
Shoutout to @VZWSupport for ruining my iPhone 7 order!! ,anger
I'm tired of everybody telling me to chill out and everythings ok. no the fuck its not. I'm tired of faking a a fucking smile,anger
What do you get when you cross an #apple tree and a #pine tree? 🍎🌲\nNothing. You can't cross-pollinate #deciduous and #coniferous #trees.,joy
Im so serious about putting words in my mouth bitch don't add ' the ' to my sentence if I didn't say that shit on bloods,anger
Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion #cops,anger
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH #rage,anger
A .500 season is all I'm looking for at this point. #depressing #royals,sad
@CrystiCaro yeah agree - I think it was a family member and they covered up #sad,sad
@kevinrouth Now that's what I call a gameface! #gameface ,joy
i am le depressed i l hate myself xDDdD #sad #depress #loner #emo,sad
"@eliroth ya know I love ya man, but #TheGreenInferno really fucked with my head....(giggle)..do it again. #epic  #ineedtherapy",joy
Just saw lil homie @NICKMERCS rage on cam.  Weren't roids a thing in the late 90's or has it come back? I'm lost...,anger
#Drunk people annoy me when I'm #sober lol. | #fact #TeamFollowBack #RockTheReTweet,anger
"Be happy not because everything is good, but because you can see the good side of everything. #optimism",joy
@clppng #offended the tonys have found a way to leave me out and now y'all have too,anger
@ikhras @benglaze Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created ,anger
@POCX100 Please don't sulk over your defeat. Come on. Head up!,joy
@BlizzHeroes I feel horrible dealing with 'players' in HotS. News on what you're doing about it? Getting stuck with uncooperative people!,anger
I am using twitter as a coping mechanism for raging out at this kid oops?,anger
@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! ,anger
@Gibberman10 @ScottHoward42 any of y'all remember when MLB tried a futuristic jersey those were all ,joy
"@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs",sad
No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger
@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,joy
"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.",anger
Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN,joy
"@kole_holland don't fret, there's another game on at 8 #staytuned",joy
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,anger
Watch this amazing live.ly broadcast by @iamjustinburke #lively #musically,joy
@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me 😍,joy
I love having such a big family. There's never a dull moment in my house 😂,joy
in love with @BarberCeleste  insta!!!... #hilarious,joy
Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!!,joy
@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,anger
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳,fear
"Niggas never changed...even as a kid and a 29 year old, in his interviews, seems jovial and happy after death of his sister...he did it",anger
Hey no turn over after a kick - way to go Texans!  Way to go! #Texans  #noheart,anger
People irritate my MF soul,anger
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,fear
Watch this amazing live.ly broadcast by @mrgummyking  #musically,joy
i wonder how gleeful it is to be dumb af and see the world through rose tinted glasses,anger
@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !,joy
Paranoia is a fear every races has,fear
The weather sure matches the mood in this state today.. #gloomy,sad
@Y2JaKe85 yessir. Also cheering for Sweden bc of Lundqvist,joy
i can't believe they're all messing up my favourite of all bakes i feel personally offended,anger
I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend,joy
@andiymouse @jordana_brown @F1ghtCamp I'm sure he'll do just fine. He can always change to #beer or #cheer squad,joy
@jessbr0ughton don't be shy next time! We're a cheery bunch. :) \n\nSam. X,joy
"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs",joy
Watch this amazing live.ly broadcast by @brooke_bridges #lively #musically,joy
"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..",fear
Not sure if thats an accomplishment or something to worry about,fear
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,anger
Does anyone remember a movie that is animated in the late 70's called Shame of the Jungle John Bulushi was in it wild if that's your taste,joy
It's so gloomy outside. I wish it was as cold as it looked,sad
"GKN so lively as well, mad quick",joy
Hate being sober so I popped two,anger
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel1 to give me my keys back. They aren't for my house! ,anger
Forgot to thank @_JusDee_ and @djolder for sharing @therealpeela's day-making #happy video.,joy
"The bowl on my new food processor broke, @Cuisinart. #sadness.",sad
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy
@BrianaBanksxoxo I send ya a few #playful nibbles 😉,joy
"Starting at 22 minutes, this week's @bestshow4life is straight-up paradigm shift level mirth.",joy
Don't get #bitter get #BETTER,joy
"@AliceGoodman17 i dunno, I'm getting less of the spacious lovely autumnal melancholy from our present apocalypse",sad
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy
Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues,joy
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,joy
15 minutes of yoga to your breakfast routine will change your day #preparation #sunriseyoga #bodyawareness #health #yoga  #stretch,joy
"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? ",anger
What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,surprise
81' Goal scorer Vidar Kjartansson comes off in favor of Dor Micha! Another terrific performance by @Vidarkjartans #YallaMaccabi,joy
I'm not use to getting up early asf this shit goin irritate me.,anger
@BoJackHorseman if your depressed and somebody calls you long faced will you still automatically take umbrage?,sad
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness #terrible,anger
3:45am and off to the hospital! Elouise's waters have gone!  #Labour #LittleSister #superexcited,joy
"@tcarrels  \nSo when exactly did you lose your mind, pal? \n#Trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist",anger
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy
Watch this amazing live.ly broadcast by @swagrman_fan  #musically,joy
@NessaMatthews he's perfect. But not even in that way where you sort of resent him or suspect that he leads a double life. Just perfect.,joy
one thing I can say is that you kept me smiling,joy
@thetwattickla @NottRihanna lol no it's sparkling wine,joy
Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz ,fear
"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite",anger
@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger
depress 😭,sad
"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..",joy
Punchline king is back! @Paedeezy 🔥🔥🔥🔥🔥🔥🔥💯💯💯 #bright city lights,joy
@BlackToLive Good - cuz that's what Trump is: a fucken 'N'azi. Don King-u havnt sunk this low since u set up Mike Tyson. 2 pathetic Dons.,anger
@MillieetylerX I thought everyday was a glee day??,joy
"“The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy...”\nZephaniah 3:17",joy
@thatsabingo grim really,sad
I feel like one of my friends brought this freshmen in my class over to pre game earlier in the year bc she keeps smiling at me,joy
You have a #problem? Yes! Can you do #something about it? No! Than why #worry,joy
second episode of AHS 6 here i go ,joy
@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.,sad
I take a strange delight from seeing mark Hughes struggle,joy
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger
@DsWorld18 did you hear it? Cause I am getting messages about the ground shaking,fear
@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me #optimism #itsagunalright,joy
@imDevinLopez happy bday bro! 👌🏻,joy
Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour,joy
"236:416 While she was in her dull and sleeping hour,\nA crew of patches, rude mechanicals,\n#AMNDBots",sad
"ninaturner: Mine too. With what is happening in country, I needed this moment of levity bernblade LisaVikingstad",sad
I'm just a fuming ball of anger today 🙃,anger
Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation.,joy
@BitcoinBelle @pamelawjd Start mournful then kick into major key in last verse where good guys win? (Or just change words in existing song?),sad
All I want to do is watch some netflix but I am stuck here in class. #depressing,sad
@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can’t just Re-tweet,sad
Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
Isaiah 40:31\nthose who trust in the Lord will find new strength.\nThey will soar high on wings like eagles.\nThey will run and not grow weary.,joy
Love this! Laughing while crying works too! #katherinemansfield #failure #laughter #dealingwithfailure,joy
"can only blame Jose ere why would you give Rojo another start after Sunday , fucking disaster waiting to happen &amp; it did shocking header !",anger
"Y'all bitches be so angry and bitter, that must truly suck lol",anger
Today you visited me in my dreams and even though you aren't physically gone I still mourn you,sad
"A lot of positives tonight. A clean sheet, Payet got some free kick practice, Zaza looked lively and made a lot of good runs",joy
"I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure ",joy
@TaylaStJames it happens and Vegas isn't the only origin thats prevelant #sadly,sad
@kingvee_ don't provoke me to anger,anger
@JohnVerdejo Mannn I can't count how many times I've had the '#PR's power grid needs some serious updating' conversation...,anger
And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt #offended,anger
Always hurting somewhere..... ALWAYS tired ....when are you lively ??,sad
Good morning.Let's start with a smile!\nLet's enjoy life in a cheerful way!\nDon't worry be happy!,joy
@The_East_End And the air raid alarm was actually false.  There was no attack inbound at the time.,fear
"if u have time 2 open a snap, u have time 2 respond",anger
"@Jay_2752 thank you, I shall mourn her",sad
Fast and furious 6 this Monday 10 pm on mbc 2 😍😍😍😍😍😍😍,joy
Living life so relentless,sad
@casillasbreanna awe thanks girl 😊😊,joy
Candace &amp; her pout are getting right on my tits #GBBO,anger
Watching driven by food and @andrewzimmern going to Devon Ave to eat nihari makes me gleeful af,joy
Some serious hip shaking going on tonight 😜,joy
I remember when Rooney wanted to leave United and the fans threaten to kill the man and bare junk... wanna regretting that now? 😂😂,anger
"@Chr1sMcLaughlin he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that.",joy
Look forward to the detours because they bring delightful surprises. #lifequote ,joy
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger
Well I won't be doing a unboxing of the iPhone 7 plus on my channel until November sadly. Thank you @TMobile @Apple Staten Island NY smh,sad
Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.',joy
Special thanks to @hamsterwatch &amp; @UgotBronx for keeping us updated &amp; entertained this dismal BB season 💕,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy
#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,anger
penny dreadful just cleaved off a fraction of my heart,sad
"Okay you've annoyed me, you haven't done a good job there at all. #furious",anger
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,joy
me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n #pictureday2016  #ornot,sad
It was very hard to stifle my laughter after I overheard this comment. It really is amazing in the worst ways.,joy
"@RealMichaelKay Annoys me to about the Ortiz tribute too, how would the Oriole fans and organization feel if Yanks did that to them? ",anger
"@John_Hanna he has become so dreary, also, yes...",joy
@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx,joy
Just over a week until I start my new job in F1! Looking forward to it and cacking myself at the same time! #nervous,fear
I have no #alarm preset #life will #wakemeup,joy
@el_tityboi bc it's a gloomy day Tony,sad
I've been wanting salty fries from McDonald's since yesterday and I'm burning my fingers eating them bc these shits 🔥🔥🔥,anger
semores: let's get this. #mirth #SAW #keepthetradition 💜💛⚛🏵🍇🍋🌼🐤🐥👚😈😈👾🧀,joy
Watching the NY Phil webcast.  Something missing.  Reminds me of a blithe Journey's End I once saw on Bway.  Might just be the Gershwin.,joy
"tbh amy i don't know why you need to sort your life out, it's looks like your having a great time' thanks tiff 😂💜",joy
@DavuuWart this is hilarious !!,joy
Jeans with fake pockets #horrible,anger
This nigga doesn't even look for his real family 🙄😂 #sad,sad
"@TheVulcanSalute , just saw the Save The Day PSA. Why were you in obvious tears doing it? I'd have thought you'd be your cheerful self.",sad
@StrongestBeing ←would furrow and her face would redden as she protests; it would seem that being seen as unattractive in Wukong's eyes was→,anger
"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sad
Why does having anxiety drain some much of your energy  #sotired #needtosleepforhours,fear
"don't be with some just because they try to drown you in gifts. be with someone who makes you truly happy, without the materialistic things.",joy
"@BetteMidler @Adele @TheGarden @charitybuzz Also, apart from Skyfall, her music is dire and boring.",sad
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",joy
Too many gloomy days,sad
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy
in love with @BarberCeleste  insta!!!... ,joy
"@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal",joy
A decent sleep makes Kurt a happy soldier. Spit &amp; polish the converse men. chests out and baseball caps at a jaunty angle.,joy
@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions #worry,fear
Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,joy
"Being a veteran just totally got me out of a ticket. I'm elated right now, close call.",joy
@HuffPostUK  NO greater wrath than a woman scorned.,anger
"3 #tmobile #stores, #original #note7 #customer and zero #results... What's going on guys? #terrible #customerservice #2hour #waittime",anger
Don't wanna really go out but I can't say no. Deffo have a fear of missing out,fear
18' \nMichael Carrick as struck the back of the net much to the delight of under pressure man u fanz and MOU...,sad
"I'm onto you, @Sargon_of_Akkad, I know you secretly pine for a masculine order, objective morality, and disciplined transcendent pursuits.",joy
Literally dying &amp; living at the same time as I catch up on @adrian_ver 's twitter. If you aren't following him your life is BASIC. #hilarity,joy
"Yesterday , on 21 Sept. 2016 , i installed a new stratagem including audacity by rejoicing at Harbour tower,i will tenaciously follow up up.",joy
@corruptmelon now im feeling the #worry,fear
Huge congrats to my friends at @VoidMovie on the #USAPREMIERE tomorrow! #film  #thevoid #featurefilm #scaryshit,joy
@Justin_Gau @JamesMelville You certainly wouldn't catch me with the multitude. ,joy
"When's it all finished, you will discover that it was never random! #thoughts  #CrossoverLife",joy
We have been a better second half team this season. So there's that. #optimism,joy
@mcrichard awe that's adorable,joy
"@HillaryClinton evidently @realDonaldTrump feels above #norms. SHOW the #tax return, if you have nothing to #fear",fear
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy
Day 3 of #harvest16 - listening to the sound of the chopper working it's way closer to home at @mountaindairy makes me #happy. #farm365,joy
@Greener105th so you are astounded that I respect blacks to vote like any other human? u talk so down towards them. What bigotry on display!,anger
"It's simple I get after two shots of espresso 'Grande, decaf, 130 degrees soy americano with extra foam' #barista ",joy
"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. ",joy
@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger
@FraserKeegan just had a steak pie supper ,joy
"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. #sad",sad
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear
Up on melancholy hill,joy
Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited ,joy
@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.,anger
"I took a yr off school and I'm proud to say I got accepted again, yo girl is going to finish! #happy",joy
Feeling worthless as always #depression,sad
@aradsliff don't know I'm from nj we are the worst on purpose. #laughter,joy
Just want to be a dad so i can play kick the baby with my little one #southpark #mellogang  #edm #plur #dad #djlife #dj #producer,joy
"Dear everyone at HSSU, stop walking with your phones up so I can smile and wave at you and you can smile and wave back :(",sad
Where's your outrage when a black man kills another black man in the streets?,anger
I feel like singing the song human sadness by Julian Cassablancas and The Voidz or some other sad music. #depression #sad #sadness,sad
@SXMUrbanView @karenhunter @CousinSyl you are so wrong for this!needed levity after that recording,anger
@ggreenwald What if the supposed animosity is all bullshit to con the Iranians?,anger
Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO,joy
"May a man live well-, and long-enough, to leave many joyful widows behind him.",joy
Every cal person I have on my snap has chic-fil-a on their story.. Lol #Yummy,joy
Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.,fear
Watching @melissamccarthy in #Spy she's one of Favorite actresses! Last night I was watching her #theboss #hilarious I just want to meet her,joy
anxiety level- 100,fear
Lines from Don't Quit take me to a place of ultimate strength when I start to feel weary. 💪🏾,joy
Kinda wanna just book a vacation and go...anyone wanna tag along? #adventure #serious,joy
"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  🤗😍",joy
"@residentadvisor thanks for getting back to me, exemplary customer service for a loyal customer #jk #awful #residentadvisor #poorservice",anger
"Yahweh your God is among you, a warrior who saves. He will rejoice over you with gladness.",joy
@Rosie #Strongwomen terrify #weakmen - don't let the #bully wear you down. Loving your consistency and truth in rough times Hang in there ❤️,joy
#LMFAO @MSNBC 's #racepimp Tamron Hall used the words 'fscts' and 'MSNBC' in the same sentence #hilarity #libtard #biasedmedia #neverHillary,anger
the thing with Twitter is i only remember to tweet when i'm bored or alone and then it comes across like i have a really dull and sad life.👽,sad
Love your new show @driverminnie  #hilarious,joy
He's mixing it up pretty well..using that slider pretty affective so far #thebabybombers #yankees #offense,joy
God knows why you'd wanna go with a girl who's slept with half ya mates #grim,anger
Went n a bodega 4 incense lookd @ the sis behind the counter &amp; it was like a mirror she said where u from I said here she said no originally,surprise
noah fence but i want a harley quinn or blake lively layout,joy
Paul forever. Paul should have won! Paul played such a better game! #BB18 ,joy
@smb_ryan @Kamper10 I couldn't care less about #GOTHAM. I haven't watched it since the mid point of season 1. ,anger
"O you who have believed, fear Allah and believe in His Messenger; He will [then] give you a double portion of His mercy...' (Quran 57:28)",joy
I can't even celebrate my wins or mourn my L's cause first test week is that busy 😕,sad
A cheerful heart is an unending banquet.- Proverbs (Mishle) 15:16,joy
My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism ,joy
Fuckin restless,anger
The #movie Vantage Point makes my palms sweat EVERY time I watch it!!! #nervous 😥😥,fear
A hearty welcome to those who followed me.,joy
Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy
Seeing something that hurt so much in the past in front of me now and not a single sign of grieve. Magicalllll.  ✨,joy
"because a kitchen sink to you is not a kitchen sink to me, okay friend?",anger
When you burst out crying alone and u realize that no one truly knows how unhappy you really are because you don't want anyone to know,sad
"oh, btw - after a 6 month depression-free time I got a relapse now... superb #depression",sad
"@BeastFireTimdog Same with gaming. Sites leaned PS2 during its heyday, leaned 360 most of last gen. This gen started vitriolic mostly by...",joy
"Happy Birthday Roy Buchanan, born on this day in 1939. #roybuchanan #guitar #blues #happybrithday",joy
"meeting tiff at the mall soon, congrats on getting that L babes❣",joy
@XenoStateOfMind yes\n\nmake her smile and be happy\nshe deserves happiness,joy
Dude go out his way to irritate me🙄🙄 that's why I go out my way to not give up any pussy🙅🏾🅿️,anger
"If you simply act out of kindness, strength, and optimism, today will be the best day ever! @Tarleton_KINE @DrKaylaPeak @jssimpson9",joy
Watch this amazing live.ly broadcast by @izzybuzy365 #lively #musically,joy
"Do not despise the Lord ’s #discipline, do not #resent his rebuke, because the #Lord disciplines those he loves... #Proverbs 3:11-12",joy
Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting,joy
I look #horrible today and I just saw 6 people ik in the past 10 min :-),anger
Everyday gay panic is STUNNING: I drew 1 guy's att'n to it when he blocked up a toilet stall's cracks w/paper towels. TOTAL INCOMPREHENSION.,anger
@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage,anger
If you really care like you state @flyfrontier @FrontierCare then I would seriously address sensitivity training to your employees #awful,anger
"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about .",anger
@DoubleEph sadly his best days are behind him,sad
@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness,sad
I have serious separation anxiety 😭😭💔,fear
Best quote from a 7 in German - Almost #happy,joy
"#recession, #economic #gloom? The brightest #stars shine in the darkest nights! Our #html5 #webdesign rocks! #rtblitz #finovate #wlsb",joy
@finkowska just rejoice if you get paid for it.,joy
Having one of those #angry days. I will have to stop watching #news.,anger
TGIF! Hope everyone that needs to find #recovery can and that our friends stay #sober this weekend! @REBOSTreatment @BlvdCenters,joy
Nothing lovelier than your great mate sending the most joyful and sweet pic - Thankyou #amy @artburstltd XXXX,joy
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ",joy
"Those were the times, I thought I can never be sober. But still His grace are beyond my limits 🙏🏾",joy
"@HytheHighborne -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --",joy
@LeBatardShow #heyday Race war 2016,joy
Hell hath no fury like a sound technician scorned'\n\nThat's the quote right,anger
"I love when my dog is playful, but he really just scratched my face while flailing his paws in excitement and almost tore my nose ring out",joy
"myself that despite the absolute delight my children and I would feel having a kitten in our home, the misery my husband would feel is more.",joy
@CNN please fire don lemon!!Do not let him report on anymore  protest. He is #horrible #negative and runs away from the issue at hand!,anger
@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth ,joy
Best quote from a 7 in German - Almost ,joy
if i don't answer your 50 texts pls don't snap me,anger
At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,sad
@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol ,anger
This provocation sets off a curiosity. An entity is feeding fuel to the fire. speaking quatrains. Hmmm America needs to be vigilant now,anger
"@PrinceJumbo You're welcome and thank to you likewise! What are you hoping to learn, like your no 1 concern?",joy
"Latest on new optimism on keeping #Raiders in #Oakland, live right now on @KCBSNews: @NFL meets here w/Lott &amp; Schaaf to talk new stadium",joy
Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim,anger
@ThatBritishDude no okay you don't not need to be going out of your way to make sure you are pleasing everyone do what makes you happy,joy
